region,district,Monthly,admissions
Togdheer,Burco,2020 Sep,157
Togdheer,Burco,2020 Oct,228
Togdheer,Burco,2020 Nov,217
Togdheer,Burco,2020 Dec,127
Togdheer,Burco,2019 Jan,315
Togdheer,Burco,2019 Feb,179
Togdheer,Burco,2019 Mar,178
Togdheer,Burco,2019 Apr,374
Togdheer,Burco,2019 May,261
Togdheer,Burco,2019 Jun,76
Togdheer,Burco,2019 Jul,248
Togdheer,Burco,2019 Aug,118
Togdheer,Burco,2019 Sep,131
Togdheer,Burco,2019 Oct,104
Togdheer,Burco,2019 Nov,83
Togdheer,Burco,2019 Dec,114
Togdheer,Buuhoodle,2024 Jan,248
Togdheer,Buuhoodle,2024 Feb,121
Togdheer,Buuhoodle,2024 Mar,182
Togdheer,Buuhoodle,2024 Apr,133
Togdheer,Buuhoodle,2024 May,177
Togdheer,Buuhoodle,2024 Jun,212
Togdheer,Buuhoodle,2024 Jul,99
Togdheer,Buuhoodle,2024 Aug,107
Togdheer,Buuhoodle,2024 Sep,103
Togdheer,Buuhoodle,2024 Oct,91
Togdheer,Buuhoodle,2024 Nov,42
Togdheer,Buuhoodle,2024 Dec,42
Togdheer,Buuhoodle,2023 Jan,347
Togdheer,Buuhoodle,2023 Feb,634
Togdheer,Buuhoodle,2023 Mar,244
Togdheer,Buuhoodle,2023 Apr,290
Togdheer,Buuhoodle,2023 May,310
Togdheer,Buuhoodle,2023 Jun,280
Togdheer,Buuhoodle,2023 Jul,399
Togdheer,Buuhoodle,2023 Aug,217
Togdheer,Buuhoodle,2023 Sep,209
Togdheer,Buuhoodle,2023 Oct,245
Togdheer,Buuhoodle,2023 Nov,255
Togdheer,Buuhoodle,2023 Dec,266
Togdheer,Buuhoodle,2022 Jan,81
Togdheer,Buuhoodle,2022 Feb,150
Togdheer,Buuhoodle,2022 Mar,87
Togdheer,Buuhoodle,2022 Apr,55
Togdheer,Buuhoodle,2022 May,303
Togdheer,Buuhoodle,2022 Jun,173
Togdheer,Buuhoodle,2022 Jul,175
Togdheer,Buuhoodle,2022 Aug,302
Togdheer,Buuhoodle,2022 Sep,273
Togdheer,Buuhoodle,2022 Oct,449
Togdheer,Buuhoodle,2022 Nov,451
Togdheer,Buuhoodle,2022 Dec,374
Togdheer,Buuhoodle,2021 Jan,490
Togdheer,Buuhoodle,2021 Feb,390
Togdheer,Buuhoodle,2021 Mar,0
Togdheer,Buuhoodle,2021 Apr,11
Togdheer,Buuhoodle,2021 May,38
Togdheer,Buuhoodle,2021 Jun,42
Togdheer,Buuhoodle,2021 Jul,38
Togdheer,Buuhoodle,2021 Aug,44
Togdheer,Buuhoodle,2021 Sep,27
Togdheer,Buuhoodle,2021 Oct,56
Togdheer,Buuhoodle,2021 Nov,111
Togdheer,Buuhoodle,2021 Dec,108
Togdheer,Buuhoodle,2020 Jan,209
Togdheer,Buuhoodle,2020 Feb,344
Togdheer,Buuhoodle,2020 Mar,357
Togdheer,Buuhoodle,2020 Apr,463
Togdheer,Buuhoodle,2020 May,509
Togdheer,Buuhoodle,2020 Jun,534
Togdheer,Buuhoodle,2020 Jul,434
Togdheer,Buuhoodle,2020 Aug,499
Togdheer,Buuhoodle,2020 Sep,394
Togdheer,Buuhoodle,2020 Oct,399
Togdheer,Buuhoodle,2020 Nov,411
Togdheer,Buuhoodle,2020 Dec,340
Togdheer,Buuhoodle,2019 Jan,79
Togdheer,Buuhoodle,2019 Feb,20
Togdheer,Buuhoodle,2019 Mar,116
Togdheer,Buuhoodle,2019 Apr,55
Togdheer,Buuhoodle,2019 May,50
Togdheer,Buuhoodle,2019 Jun,45
Togdheer,Buuhoodle,2019 Jul,55
Togdheer,Buuhoodle,2019 Aug,77
Togdheer,Buuhoodle,2019 Sep,80
Togdheer,Buuhoodle,2019 Oct,55
Togdheer,Buuhoodle,2019 Nov,56
Togdheer,Buuhoodle,2019 Dec,113
Togdheer,Owdweyne,2024 Jan,117
Togdheer,Owdweyne,2024 Feb,60
Togdheer,Owdweyne,2024 Mar,63
Togdheer,Owdweyne,2024 Apr,41
Togdheer,Owdweyne,2024 May,35
Togdheer,Owdweyne,2024 Jun,26
Togdheer,Owdweyne,2024 Jul,31
Togdheer,Owdweyne,2024 Aug,32
Togdheer,Owdweyne,2024 Sep,88
Togdheer,Owdweyne,2024 Oct,35
Togdheer,Owdweyne,2024 Nov,23
Togdheer,Owdweyne,2024 Dec,23
Togdheer,Owdweyne,2023 Jan,128
Togdheer,Owdweyne,2023 Feb,110
Togdheer,Owdweyne,2023 Mar,141
Togdheer,Owdweyne,2023 Apr,112
Togdheer,Owdweyne,2023 May,162
Togdheer,Owdweyne,2023 Jun,101
Togdheer,Owdweyne,2023 Jul,163
Togdheer,Owdweyne,2023 Aug,105
Togdheer,Owdweyne,2023 Sep,306
Togdheer,Owdweyne,2023 Oct,129
Togdheer,Owdweyne,2023 Nov,136
Togdheer,Owdweyne,2023 Dec,117
Togdheer,Owdweyne,2022 Jan,63
Togdheer,Owdweyne,2022 Feb,92
Togdheer,Owdweyne,2022 Mar,110
Togdheer,Owdweyne,2022 Apr,85
Togdheer,Owdweyne,2022 May,118
Togdheer,Owdweyne,2022 Jun,287
Togdheer,Owdweyne,2022 Jul,310
Togdheer,Owdweyne,2022 Aug,276
Togdheer,Owdweyne,2022 Sep,192
Togdheer,Owdweyne,2022 Oct,237
Togdheer,Owdweyne,2022 Nov,308
Togdheer,Owdweyne,2022 Dec,540
Togdheer,Owdweyne,2021 Jan,41
Togdheer,Owdweyne,2021 Feb,35
Togdheer,Owdweyne,2021 Mar,51
Togdheer,Owdweyne,2021 Apr,37
Togdheer,Owdweyne,2021 May,16
Togdheer,Owdweyne,2021 Jun,37
Togdheer,Owdweyne,2021 Jul,84
Togdheer,Owdweyne,2021 Aug,95
Togdheer,Owdweyne,2021 Sep,60
Togdheer,Owdweyne,2021 Oct,42
Togdheer,Owdweyne,2021 Nov,114
Togdheer,Owdweyne,2021 Dec,61
Togdheer,Owdweyne,2020 Jan,109
Togdheer,Owdweyne,2020 Feb,118
Togdheer,Owdweyne,2020 Mar,122
Togdheer,Owdweyne,2020 Apr,101
Togdheer,Owdweyne,2020 May,112
Togdheer,Owdweyne,2020 Jun,172
Togdheer,Owdweyne,2020 Jul,120
Togdheer,Owdweyne,2020 Aug,53
Togdheer,Owdweyne,2020 Sep,43
Togdheer,Owdweyne,2020 Oct,72
Togdheer,Owdweyne,2020 Nov,52
Togdheer,Owdweyne,2020 Dec,61
Togdheer,Owdweyne,2019 Jan,26
Togdheer,Owdweyne,2019 Feb,54
Togdheer,Owdweyne,2019 Mar,29
Togdheer,Owdweyne,2019 Apr,39
Togdheer,Owdweyne,2019 May,28
Togdheer,Owdweyne,2019 Jun,28
Togdheer,Owdweyne,2019 Jul,60
Togdheer,Owdweyne,2019 Aug,25
Togdheer,Owdweyne,2019 Sep,8
Togdheer,Owdweyne,2019 Oct,41
Togdheer,Owdweyne,2019 Nov,40
Togdheer,Owdweyne,2019 Dec,25
Togdheer,Sheikh,2024 Jan,63
Togdheer,Sheikh,2024 Feb,72
Togdheer,Sheikh,2024 Mar,55
Togdheer,Sheikh,2024 Apr,30
Togdheer,Sheikh,2024 May,32
Togdheer,Sheikh,2024 Jun,58
Togdheer,Sheikh,2024 Jul,74
Togdheer,Sheikh,2024 Aug,63
Togdheer,Sheikh,2024 Sep,72
Togdheer,Sheikh,2024 Oct,17
Togdheer,Sheikh,2024 Nov,23
Togdheer,Sheikh,2024 Dec,23
Togdheer,Sheikh,2023 Jan,76
Togdheer,Sheikh,2023 Feb,47
Togdheer,Sheikh,2023 Mar,126
Togdheer,Sheikh,2023 Apr,56
Togdheer,Sheikh,2023 May,86
Togdheer,Sheikh,2023 Jun,96
Togdheer,Sheikh,2023 Jul,133
Togdheer,Sheikh,2023 Aug,95
Togdheer,Sheikh,2023 Sep,75
Togdheer,Sheikh,2023 Oct,81
Togdheer,Sheikh,2023 Nov,40
Togdheer,Sheikh,2023 Dec,51
Togdheer,Sheikh,2022 Jan,0
Togdheer,Sheikh,2022 Feb,0
Togdheer,Sheikh,2022 Mar,0
Togdheer,Sheikh,2022 Apr,0
Togdheer,Sheikh,2022 May,6
Togdheer,Sheikh,2022 Jun,26
Togdheer,Sheikh,2022 Jul,25
Togdheer,Sheikh,2022 Aug,33
Togdheer,Sheikh,2022 Sep,31
Togdheer,Sheikh,2022 Oct,34
Togdheer,Sheikh,2022 Nov,0
Togdheer,Sheikh,2022 Dec,30
Togdheer,Sheikh,2021 Jan,0
Togdheer,Sheikh,2021 Feb,0
Togdheer,Sheikh,2021 Mar,0
Togdheer,Sheikh,2021 Apr,0
Togdheer,Sheikh,2021 May,0
Togdheer,Sheikh,2021 Jun,0
Togdheer,Sheikh,2021 Jul,0
Togdheer,Sheikh,2021 Aug,0
Togdheer,Sheikh,2021 Sep,0
Togdheer,Sheikh,2021 Oct,0
Togdheer,Sheikh,2021 Nov,0
Togdheer,Sheikh,2021 Dec,0
Togdheer,Sheikh,2020 Jan,4
Togdheer,Sheikh,2020 Feb,3
Togdheer,Sheikh,2020 Mar,6
Togdheer,Sheikh,2020 Apr,5
Togdheer,Sheikh,2020 May,7
Togdheer,Sheikh,2020 Jun,6
Togdheer,Sheikh,2020 Jul,5
Togdheer,Sheikh,2020 Aug,7
Togdheer,Sheikh,2020 Sep,10
Togdheer,Sheikh,2020 Oct,11
Togdheer,Sheikh,2020 Nov,8
Togdheer,Sheikh,2020 Dec,0
Togdheer,Sheikh,2019 Jan,17
Togdheer,Sheikh,2019 Feb,15
Togdheer,Sheikh,2019 Mar,6
Togdheer,Sheikh,2019 Apr,4
Togdheer,Sheikh,2019 May,5
Togdheer,Sheikh,2019 Jun,7
Togdheer,Sheikh,2019 Jul,19
Togdheer,Sheikh,2019 Aug,7
Togdheer,Sheikh,2019 Sep,14
Togdheer,Sheikh,2019 Oct,6
Togdheer,Sheikh,2019 Nov,4
Togdheer,Sheikh,2019 Dec,6
Woqooyi Galbeed,Berbera,2024 Jan,140
Woqooyi Galbeed,Berbera,2024 Feb,79
Woqooyi Galbeed,Berbera,2024 Mar,95
Woqooyi Galbeed,Berbera,2024 Apr,87
Woqooyi Galbeed,Berbera,2024 May,109
Woqooyi Galbeed,Berbera,2024 Jun,167
Woqooyi Galbeed,Berbera,2024 Jul,126
Woqooyi Galbeed,Berbera,2024 Aug,134
Woqooyi Galbeed,Berbera,2024 Sep,190
Woqooyi Galbeed,Berbera,2024 Oct,93
Woqooyi Galbeed,Berbera,2024 Nov,44
Woqooyi Galbeed,Berbera,2024 Dec,44
Woqooyi Galbeed,Berbera,2023 Jan,239
Woqooyi Galbeed,Berbera,2023 Feb,201
Woqooyi Galbeed,Berbera,2023 Mar,218
Woqooyi Galbeed,Berbera,2023 Apr,208
Woqooyi Galbeed,Berbera,2023 May,217
Woqooyi Galbeed,Berbera,2023 Jun,138
Woqooyi Galbeed,Berbera,2023 Jul,216
Woqooyi Galbeed,Berbera,2023 Aug,170
Woqooyi Galbeed,Berbera,2023 Sep,165
Woqooyi Galbeed,Berbera,2023 Oct,172
Woqooyi Galbeed,Berbera,2023 Nov,220
Woqooyi Galbeed,Berbera,2023 Dec,221
Woqooyi Galbeed,Berbera,2022 Jan,81
Woqooyi Galbeed,Berbera,2022 Feb,83
Woqooyi Galbeed,Berbera,2022 Mar,92
Woqooyi Galbeed,Berbera,2022 Apr,57
Woqooyi Galbeed,Berbera,2022 May,131
Woqooyi Galbeed,Berbera,2022 Jun,118
Woqooyi Galbeed,Berbera,2022 Jul,94
Woqooyi Galbeed,Berbera,2022 Aug,167
Woqooyi Galbeed,Berbera,2022 Sep,116
Woqooyi Galbeed,Berbera,2022 Oct,202
Woqooyi Galbeed,Berbera,2022 Nov,104
Woqooyi Galbeed,Berbera,2022 Dec,161
Woqooyi Galbeed,Berbera,2021 Jan,181
Woqooyi Galbeed,Berbera,2021 Feb,84
Woqooyi Galbeed,Berbera,2021 Mar,104
Woqooyi Galbeed,Berbera,2021 Apr,39
Woqooyi Galbeed,Berbera,2021 May,83
Woqooyi Galbeed,Berbera,2021 Jun,81
Woqooyi Galbeed,Berbera,2021 Jul,74
Woqooyi Galbeed,Berbera,2021 Aug,56
Woqooyi Galbeed,Berbera,2021 Sep,85
Woqooyi Galbeed,Berbera,2021 Oct,116
Woqooyi Galbeed,Berbera,2021 Nov,101
Woqooyi Galbeed,Berbera,2021 Dec,92
Woqooyi Galbeed,Berbera,2020 Jan,61
Woqooyi Galbeed,Berbera,2020 Feb,95
Woqooyi Galbeed,Berbera,2020 Mar,61
Woqooyi Galbeed,Berbera,2020 Apr,57
Woqooyi Galbeed,Berbera,2020 May,157
Woqooyi Galbeed,Berbera,2020 Jun,78
Woqooyi Galbeed,Berbera,2020 Jul,71
Woqooyi Galbeed,Berbera,2020 Aug,102
Woqooyi Galbeed,Berbera,2020 Sep,111
Woqooyi Galbeed,Berbera,2020 Oct,108
Woqooyi Galbeed,Berbera,2020 Nov,76
Woqooyi Galbeed,Berbera,2020 Dec,69
Woqooyi Galbeed,Berbera,2019 Jan,45
Woqooyi Galbeed,Berbera,2019 Feb,28
Woqooyi Galbeed,Berbera,2019 Mar,52
Woqooyi Galbeed,Berbera,2019 Apr,53
Woqooyi Galbeed,Berbera,2019 May,4
Woqooyi Galbeed,Berbera,2019 Jun,88
Woqooyi Galbeed,Berbera,2019 Jul,100
Woqooyi Galbeed,Berbera,2019 Aug,110
Woqooyi Galbeed,Berbera,2019 Sep,94
Woqooyi Galbeed,Berbera,2019 Oct,70
Woqooyi Galbeed,Berbera,2019 Nov,92
Woqooyi Galbeed,Berbera,2019 Dec,102
Woqooyi Galbeed,Gebiley,2024 Jan,271
Woqooyi Galbeed,Gebiley,2024 Feb,255
Woqooyi Galbeed,Gebiley,2024 Mar,246
Woqooyi Galbeed,Gebiley,2024 Apr,266
Woqooyi Galbeed,Gebiley,2024 May,268
Woqooyi Galbeed,Gebiley,2024 Jun,260
Woqooyi Galbeed,Gebiley,2024 Jul,241
Woqooyi Galbeed,Gebiley,2024 Aug,174
Woqooyi Galbeed,Gebiley,2024 Sep,222
Woqooyi Galbeed,Gebiley,2024 Oct,158
Woqooyi Galbeed,Gebiley,2024 Nov,171
Woqooyi Galbeed,Gebiley,2024 Dec,171
Woqooyi Galbeed,Gebiley,2023 Jan,326
Woqooyi Galbeed,Gebiley,2023 Feb,295
Woqooyi Galbeed,Gebiley,2023 Mar,280
Woqooyi Galbeed,Gebiley,2023 Apr,316
Woqooyi Galbeed,Gebiley,2023 May,380
Woqooyi Galbeed,Gebiley,2023 Jun,342
Woqooyi Galbeed,Gebiley,2023 Jul,264
Woqooyi Galbeed,Gebiley,2023 Aug,275
Woqooyi Galbeed,Gebiley,2023 Sep,270
Woqooyi Galbeed,Gebiley,2023 Oct,219
Woqooyi Galbeed,Gebiley,2023 Nov,343
Woqooyi Galbeed,Gebiley,2023 Dec,327
Woqooyi Galbeed,Gebiley,2022 Jan,245
Woqooyi Galbeed,Gebiley,2022 Feb,222
Woqooyi Galbeed,Gebiley,2022 Mar,281
Woqooyi Galbeed,Gebiley,2022 Apr,279
Woqooyi Galbeed,Gebiley,2022 May,306
Woqooyi Galbeed,Gebiley,2022 Jun,340
Woqooyi Galbeed,Gebiley,2022 Jul,273
Woqooyi Galbeed,Gebiley,2022 Aug,287
Woqooyi Galbeed,Gebiley,2022 Sep,275
Woqooyi Galbeed,Gebiley,2022 Oct,345
Woqooyi Galbeed,Gebiley,2022 Nov,355
Woqooyi Galbeed,Gebiley,2022 Dec,311
Woqooyi Galbeed,Gebiley,2021 Jan,261
Woqooyi Galbeed,Gebiley,2021 Feb,231
Woqooyi Galbeed,Gebiley,2021 Mar,302
Woqooyi Galbeed,Gebiley,2021 Apr,466
Woqooyi Galbeed,Gebiley,2021 May,555
Woqooyi Galbeed,Gebiley,2021 Jun,292
Woqooyi Galbeed,Gebiley,2021 Jul,169
Woqooyi Galbeed,Gebiley,2021 Aug,157
Woqooyi Galbeed,Gebiley,2021 Sep,154
Woqooyi Galbeed,Gebiley,2021 Oct,226
Woqooyi Galbeed,Gebiley,2021 Nov,245
Woqooyi Galbeed,Gebiley,2021 Dec,224
Woqooyi Galbeed,Gebiley,2020 Jan,97
Woqooyi Galbeed,Gebiley,2020 Feb,114
Woqooyi Galbeed,Gebiley,2020 Mar,83
Woqooyi Galbeed,Gebiley,2020 Apr,88
Woqooyi Galbeed,Gebiley,2020 May,96
Woqooyi Galbeed,Gebiley,2020 Jun,175
Woqooyi Galbeed,Gebiley,2020 Jul,208
Woqooyi Galbeed,Gebiley,2020 Aug,174
Woqooyi Galbeed,Gebiley,2020 Sep,196
Woqooyi Galbeed,Gebiley,2020 Oct,188
Woqooyi Galbeed,Gebiley,2020 Nov,288
Woqooyi Galbeed,Gebiley,2020 Dec,259
Woqooyi Galbeed,Gebiley,2019 Jan,154
Woqooyi Galbeed,Gebiley,2019 Feb,126
Woqooyi Galbeed,Gebiley,2019 Mar,172
Woqooyi Galbeed,Gebiley,2019 Apr,233
Woqooyi Galbeed,Gebiley,2019 May,178
Woqooyi Galbeed,Gebiley,2019 Jun,183
Woqooyi Galbeed,Gebiley,2019 Jul,131
Woqooyi Galbeed,Gebiley,2019 Aug,71
Woqooyi Galbeed,Gebiley,2019 Sep,96
Woqooyi Galbeed,Gebiley,2019 Oct,85
Woqooyi Galbeed,Gebiley,2019 Nov,82
Woqooyi Galbeed,Gebiley,2019 Dec,56
Woqooyi Galbeed,Hargeysa,2024 Jan,746
Woqooyi Galbeed,Hargeysa,2024 Feb,681
Woqooyi Galbeed,Hargeysa,2024 Mar,711
Woqooyi Galbeed,Hargeysa,2024 Apr,667
Woqooyi Galbeed,Hargeysa,2024 May,736
Woqooyi Galbeed,Hargeysa,2024 Jun,666
Woqooyi Galbeed,Hargeysa,2024 Jul,647
Woqooyi Galbeed,Hargeysa,2024 Aug,655
Woqooyi Galbeed,Hargeysa,2024 Sep,740
Woqooyi Galbeed,Hargeysa,2024 Oct,512
Woqooyi Galbeed,Hargeysa,2024 Nov,323
Woqooyi Galbeed,Hargeysa,2024 Dec,323
Woqooyi Galbeed,Hargeysa,2023 Jan,1280
Woqooyi Galbeed,Hargeysa,2023 Feb,1109
Woqooyi Galbeed,Hargeysa,2023 Mar,1194
Woqooyi Galbeed,Hargeysa,2023 Apr,1186
Woqooyi Galbeed,Hargeysa,2023 May,1592
Woqooyi Galbeed,Hargeysa,2023 Jun,1437
Woqooyi Galbeed,Hargeysa,2023 Jul,990
Woqooyi Galbeed,Hargeysa,2023 Aug,806
Woqooyi Galbeed,Hargeysa,2023 Sep,737
Woqooyi Galbeed,Hargeysa,2023 Oct,899
Woqooyi Galbeed,Hargeysa,2023 Nov,1159
Woqooyi Galbeed,Hargeysa,2023 Dec,1227
Woqooyi Galbeed,Hargeysa,2022 Jan,1065
Woqooyi Galbeed,Hargeysa,2022 Feb,1122
Woqooyi Galbeed,Hargeysa,2022 Mar,1110
Woqooyi Galbeed,Hargeysa,2022 Apr,801
Woqooyi Galbeed,Hargeysa,2022 May,1159
Woqooyi Galbeed,Hargeysa,2022 Jun,1434
Woqooyi Galbeed,Hargeysa,2022 Jul,1281
Woqooyi Galbeed,Hargeysa,2022 Aug,1457
Woqooyi Galbeed,Hargeysa,2022 Sep,1407
Woqooyi Galbeed,Hargeysa,2022 Oct,1297
Woqooyi Galbeed,Hargeysa,2022 Nov,1284
Woqooyi Galbeed,Hargeysa,2022 Dec,1503
Woqooyi Galbeed,Hargeysa,2021 Jan,781
Woqooyi Galbeed,Hargeysa,2021 Feb,637
Woqooyi Galbeed,Hargeysa,2021 Mar,489
Woqooyi Galbeed,Hargeysa,2021 Apr,703
Woqooyi Galbeed,Hargeysa,2021 May,794
Woqooyi Galbeed,Hargeysa,2021 Jun,1112
Woqooyi Galbeed,Hargeysa,2021 Jul,462
Woqooyi Galbeed,Hargeysa,2021 Aug,483
Woqooyi Galbeed,Hargeysa,2021 Sep,802
Woqooyi Galbeed,Hargeysa,2021 Oct,950
Woqooyi Galbeed,Hargeysa,2021 Nov,1010
Woqooyi Galbeed,Hargeysa,2021 Dec,1139
Woqooyi Galbeed,Hargeysa,2020 Jan,695
Woqooyi Galbeed,Hargeysa,2020 Feb,624
Woqooyi Galbeed,Hargeysa,2020 Mar,522
Woqooyi Galbeed,Hargeysa,2020 Apr,489
Woqooyi Galbeed,Hargeysa,2020 May,475
Woqooyi Galbeed,Hargeysa,2020 Jun,424
Woqooyi Galbeed,Hargeysa,2020 Jul,476
Woqooyi Galbeed,Hargeysa,2020 Aug,498
Woqooyi Galbeed,Hargeysa,2020 Sep,529
Woqooyi Galbeed,Hargeysa,2020 Oct,559
Woqooyi Galbeed,Hargeysa,2020 Nov,563
Woqooyi Galbeed,Hargeysa,2020 Dec,704
Woqooyi Galbeed,Hargeysa,2019 Jan,476
Woqooyi Galbeed,Hargeysa,2019 Feb,540
Woqooyi Galbeed,Hargeysa,2019 Mar,673
Woqooyi Galbeed,Hargeysa,2019 Apr,690
Woqooyi Galbeed,Hargeysa,2019 May,542
Woqooyi Galbeed,Hargeysa,2019 Jun,683
Woqooyi Galbeed,Hargeysa,2019 Jul,445
Woqooyi Galbeed,Hargeysa,2019 Aug,400
Woqooyi Galbeed,Hargeysa,2019 Sep,431
Woqooyi Galbeed,Hargeysa,2019 Oct,369
Woqooyi Galbeed,Hargeysa,2019 Nov,402
Woqooyi Galbeed,Hargeysa,2019 Dec,415
